fake_or_real,anatomical,stylistic,functional,law_of_physics,sociocultural,filename
Stable Diffusion,1,0,0,0,0,0bce6c35c24ec5ce8ae8ad5bb4f67d59.jpeg
MidJourney,1,0,1,0,0,8bb9230e51fcf2c259f3565cc1b2dc56.jpeg
Firefly,0,0,1,1,0,eef7043343ac290520f3f4c0eaced1c5.jpeg
Stable Diffusion,0,0,0,0,0,5d04c3a88fe8c5d2d7c7a8877e7880fe.jpeg
Firefly,0,1,0,0,0,f84a79e62e6e309deacda28d64ded163.jpeg
Firefly,1,1,1,0,0,bcd62a29647bf78c402710ba7a9683f9bc8b064187b6643e6ff86fdcc32c2bd2.jpeg
MidJourney,0,1,0,0,0,bd95e047027f57e7f5768350abe277c3.jpeg
Stable Diffusion,1,0,1,0,0,2c4c0b171577884f5c0991cacb5c5ebc.jpeg
Stable Diffusion,0,1,0,0,0,eb38e89f02ac0fda250439f78e26eae6.jpeg
MidJourney,0,1,1,0,0,4ca91e737979369e37478c4f4ec6e84e.jpeg
MidJourney,1,0,0,1,0,39db35c3e42f8b591188cffad2160010.jpeg
Stable Diffusion,1,0,1,0,0,817e63b94cb4c148d884b88de9afc2a2.jpeg
Stable Diffusion,0,0,1,0,0,76af9c56f4a8bd175ec95009c85cc055.jpeg
MidJourney,0,0,0,0,0,7f23d59c262d3cfb3eaf43b2ef7d9d6f.jpeg
MidJourney,1,0,1,0,0,e21e83bdff93fe57408622c2e02ab189.jpeg
Firefly,0,0,1,0,0,c65519e9d8ee3d4157ae12448e2564ba.jpeg
Stable Diffusion,0,1,1,0,0,8059c316907c586bdf33ad3cb9ca3f95.jpeg
Firefly,0,1,1,0,0,568d15fb8e8b3953a89d070ce6c2efbc.jpeg
MidJourney,1,1,0,0,0,3dfa53ac25668d109f3140a945dbe8c31ceb748e0052593d8c68c58650f288ad.jpeg
Stable Diffusion,1,0,1,0,0,b5c55ed5456a060ceb8ae2b89659506d.jpeg
MidJourney,0,1,0,0,1,aaeabaab37a705d665e190d153e990d2.jpeg
MidJourney,0,1,0,0,0,191af80c473c7d21b78525c9a850414e.jpeg
Stable Diffusion,1,0,1,0,0,d22e49191b26998c49b0550b7fdd9cb0.jpeg
MidJourney,0,0,1,0,0,81714dfaf50f5fb90d1e37f63a3cacba.jpeg
MidJourney,0,1,1,0,0,6624e99be64bfe92344af5be195d274e.jpeg
Stable Diffusion,1,0,1,0,0,69f16be179380dc9e1cf72dd5bd9f615.jpeg
MidJourney,0,0,1,0,0,9d4503d98203a5da9a7c40029ca96632.jpeg
Firefly,1,0,0,0,0,55bf29fb606f25f6640805738772d4e04497c0154f8946f458cfc92c26e1cc63.jpeg
Stable Diffusion,0,1,1,0,0,b9492f1cccf1376c63d811bf81c4e90b.jpeg
MidJourney,1,0,0,0,0,5cfde276129425ec963a3eec23f80adc.jpeg
Firefly,0,0,1,0,0,0c9ae7097995139c64b686c6ddec09ba.jpeg
Stable Diffusion,0,0,1,0,0,9a690d408cee47be9fe65c897f61a477.jpeg
Firefly,0,1,1,0,1,50e4ccb0e4859a4b40b5eb7f3b233235c56a8f48b36800db16d094e2a20c978e.jpeg
Stable Diffusion,1,0,1,0,0,18cce7304e462fad734543d6128be4c1.jpeg
MidJourney,0,0,1,0,0,288b6c8f4fecb2f8f6c0a1f42b39f411.jpeg
Stable Diffusion,1,0,1,0,0,351d5c8f178262436d098691ce2a0632.jpeg
MidJourney,1,0,0,0,0,81e25ad81df43dca638321542c3920ec.jpeg
MidJourney,0,1,1,0,0,09edc782a2e242c0840d3b8a3960420d.jpeg
Firefly,0,0,1,0,0,e954a8a31de9ea325f6fc7bc7d0625616c24cf6f22da64264f167702fd8cd0e0.jpeg
MidJourney,0,0,1,0,0,83b42ccb6d2e95b7541318e89476dbb3.jpeg
Firefly,1,0,1,0,0,83eec5e8051769e1a158392169bd99922fd29d94eaa75fb6735c23358ab73a8d.jpeg
MidJourney,0,1,0,0,0,a632095597b188e4553952876a764c76.jpeg
MidJourney,0,0,1,0,0,afc7907a39ce97c82a748601c6f926d9.jpeg
MidJourney,0,0,1,0,0,34d82e456fe8b5992d7300b631e601dd.jpeg
Stable Diffusion,0,0,1,0,0,69df2ad5f0eb01ca197dd954f040e916.jpeg
MidJourney,0,1,0,1,0,aff1430e9da23e27168ea3711138f4e9.jpeg
Stable Diffusion,0,0,1,0,0,12139e4b410efce34d74087e4db0f2ec.jpeg
Firefly,1,0,1,0,0,64260044f5e0429e12c183191b48ad97.jpeg
Stable Diffusion,1,0,1,0,0,c1fee6fb72bc3de47b56ed5b824c4843.jpeg
Stable Diffusion,0,1,0,0,0,939016207fae8e822593f8356cb1e33a.jpeg
MidJourney,0,1,1,0,0,84afad8071fc00f7c4c00246bc3589c1.jpeg
