comment,classification
alksakldfdlks,0
HERE IS A TEST :) :) ,0
"He has no eyeballs.
","2,6"
Here eye and cheek are disportioned,"2,6"
arm holding pizza,"3,9"
Details on the face,"2,6"
Details on the face,"2,6"
light reflection on the wrist. ,4
Either completely faked or so heavily photoshopped it might as well be.,5
Textures are smoothed in a way that suggests generation,5
Distortion in the face,"2,6"
Lines look sharp and realistic,"1,9"
Fingers on the cup don't seem to be holding anything. Fingertips look like they penetrate the cup.,"3,6"
"The image looks heavily processed, but I don't notice any flaws.",5
Wrinkles are too crisp and deep. This looks like a young woman photoshoped to look old.,5
The details of the image are slightly off. ,"2,6"
"They are holding the hamburgers from the side, not top and bottom.","3,8"
The image is too sharp for a historic image.,"1,4"
The visual sheen on her left shoulder and the tone skin on her neck suggests to me it is fake,"1,5"
"No flaws and image is out of focus, but not warped. ",1
Duplicate,0
"Skin tone, an eyes all appear to be real, there is a liveness factor I see in the picture as well",0
Crab is too large and has little crabs as legs. Figure on the left has hands twisted in the wrong direction.,"3,6"
"The even-ness of the skin tone, and the the liveness of her appearance suggests to me she is real",0
Shadows are wrong for the woman on the right.,4
Hip seems too low.,"3,6"
Figure on the left has a crooked beard.,2
sunglasses on his chest look wrong,0
pizza slices not missing,0
Runner in foreground is moving in a different direction than all the runners in the background.,"3,9"
Pizza in the box is either mishappen or cut off. Kids are sitting at the same height as the table. ,"3,8"
Hand is disproportionately large.,3
Fingers are off,3
No shadows,4
Michelle appears to be floating. ,"3,9"
Eyelids?,"2,6"
Distortion,"3,9"
Plate on left is floating. ,"3,9"
Discoloration of woman's nose. Bat is merged with hand. Reflection does not show hand.,"3,9"
Skin tone looks fake on the woman and the man.  No blemishes at all.,5
Tatoos on hand seem faded.,0
No shadow on pigeon.,4
looks it ,0
y,0
uu,0
w,0
w,0
w,0
s,0
It's AI because of the picture light,4
Fake,"2,5,6,7"
Fake,"2,5,6,7"
Not real.. artificial ,7
Toe position “floating” person on far right,"3,9"
Scrambled background under arm. Missing half of folder on desk. ,"1,4"
its fake and theres 2,2
it looks fake,7
astroworld,0
ok ,"1,4,5"
becase,0
s,0
es,0
es,0
es,0
es,0
s,0
es,0
es,0
es,0
es,0
I think this is an AI because th way the thumb is and the way the picture looks. ,"3,6"
real,0
Blurred parts of the picture. Limbs and other appendages deformed or in the wrong places.,3
sooo fake,7
mJ for the win,0
face not match with the body,"2,6"
Feet,"3,6"
Fingers,"3,6"
"No feet, the hair is off.","3,6"
This just doesn’t make sense. ,0
Faces are off. Extra limbs. ,"2,3"
The tan on the father looks uneven. The hand that is visible on the woman's hip looks odd. ,"2,3"
The smoothness in the faces - no wrinkles in the adults' faces. ,"2,6"
The fingers on the bottle - as well as the bottle itself - look too elongated,"3,9"
The face looks very photoshopped.,5
The children's eyes look offset. ,2
The background looks too futuristic. ,"4,8"
I have never seen this mlk pic,0
"Skin is too smooth, the depth of field doesn’t seem natural","1,4"
the eyes,"2,6"
The fingers - second finger. AI can't replicate the fingers properly,6
The nose and hands look strange ,"2,3"
Can't see the hand properly and the light around the middle person is off,"3,4"
The hands of the sondieren habe only four fingers. The back legs of the rabbit are too long,"3,6"
Everything can be ai generated. ,0
the shadows,4
the proportions of the person seem wrong,"2,6"
the mouth,"2,6"
"fingers, face","2,6"
The faces don't look real,"2,6"
"Face, mainly the nose","2,6"
The Hands,"3,6"
"The shoes, the hands",0
not natural looking,"2,7"
"The fingers of the women, the blue spot on the man's hand","3,9"
"The mouth of both persons, really bad",2
"The skin is too smooth, Michelle has too many fingers","2,3"
The left hand of the boy in front,"3,6"
There is a hole in the womans' left arm,"3,9"
The background,4
The helmet,"1,4"
the hand between two burgers! ha ha,"3,8"
"the thumbs, the shoes",0
the leg of the woman on the left isn't complete,3
Something wrong with the eyes and faces,"2,6"
"Fingers, faces","2,6"
"The glasses, patch on left leg","3,6"
Horrible faces,"2,7"
"Skin too smooth, noch logo on the Shirt behind the racket ","1,8"
"Facebook too smooth, fingers not real  ","1,3"
Left eye and nose of the bride,"2,6"
Too perfect,7
Something in the way the dog is situated,0
Horrible face,"2,7"
Too perfect,7
The colour of the table,0
The fingers,"3,6"
The hands,"3,6"
The hair,"1,5"
Too perfekt,5
n,0
The shadows behind his ear and the bouquet are at different angles.,4
pants look too wrinkled,0
suits are constructed differently,0
racket string shadows are wrong,4
His left ear is weird ,6
His teeth are strange,"2,6"
Her left eye,"2,6"
noses,"2,6"
what is wrong with the table,0
The guy just looks superimposed on the background. Just a little too crisp for the rest of the image.,"1,4,5"
his cheek has a hole,3
matt tester,0
wwww test,0
Focus on woman's face is a little different.,"2,6"
no poinjion,0
ai ak demo,0
"-. ,fgdbgbfgbhfgh",0
nbjihihui,0
kookiiui,0
li,0
his hand is wrong and face,"2,3"
spz,0
niggas,0
 ,"1,4,5"
 ,"1,4,5"
 ,"1,4,5"
Woman has five fingers on her left hand,3
right hand,"3,6"
right leg,"3,6"
eyes,"2,6"
Everything looks to smooth ,5
The eyes and hands,"2,3"
Really detailed and pretty random too,0
teh food ,0
Looks to perfect,"1,5"
The microphone looks fake,5
The eyes,"2,6"
"The hair looks almost shiny and ai generated, same with the skin of the people,  the rest is pretty realistic.","1,5"
it looks like it is smoothed over and too perfect,5
Because the people's hair and skin are wierd,"2,3"
the baby,"2,3,6"
food,0
"To retouched, fingers weird.","5,9"
idk,0
Lighting,4
"skin looks weird, fingers are bad and, face is swirly...","2,3"
faces,"2,6"
eyes,"2,6"
everyone looks like na alien,7
eyes,"2,6"
I took this photo.,0
too retouched,5
Coffee cup,0
Expressions,"2,6"
faces are wierd,"2,7"
Background,4
Colors,0
Lines around hair are too crisp with background,"1,5"
Cosmetic style of women out of character with vintage setting. ,"5,8"
Looks green screen-ish.,4
Doesn't looks like a tennis afficionado to me.,0
"Human facial features are incorrect. Feels like it borders into Uncanny Valley, but not real","2,7"
Face is really smooth and AI tends to smooth out blemishes from people when combining photographs into one picture.,5
The hand is smooth and so are the faces. It feels more like a painting than a photograph.,"1,5"
"blurred lines in shapes, unfocused eyes, ""unnatural"" eyes","1,6"
"Fuzzy or missing facial details (eyes, nose, smile)","2,6"
"""ugly"" unpainted faces, blurred and stretched lines.","2,5"
overblurred face,"2,5"
facees are to smoooth,"2,5"
 ,"1,4,5"
test,0
looks cliché ,0
He looks very real and emotions,7
"What is going on the ruffles in the shirts and  boots and the hands, what is going on with the hands!!!","1,3"
Shadows are way off,4
looks like a stock image lol,0
Weird eyes,"2,6"
The lighting is weird,4
Girl on the left looks weird,"2,6"
"The lighting is awful. The cheese is two dimensional, and the woman in the back does not have a face.","1,4"
The hair looks unreal,"1,5"
left hand has 3 fingers,3
"Bugs in photo
","3,9"
Too good solution for a 60's photo.,"1,4"
Look at the fingers,"2,6"
The croud looks lame. no cheering or standing.,8
It looks to smooth.,5
The faces are really bad,"2,6"
The skin,"2,6"
Real pictures have a crusty feel. pixels,"1,5"
Its painted ,"1,5"
"It was definitly edited, but it looks ti real",5
The hands and the food,"3,9"
Theres so much going on and none of the hands are messed.,0
weird fingers,"3,6"
saturation,0
xxx,0
xxx,0
you can translate from spanish this menssage: El ojo derecho es el elemento que me hace estar seguro de que es IA,0
io``ioio,0
It's just too clean kind of.,"1,4"
Their faces look weird.,"2,6"
Weird face,"2,6"
His lips are a little weird,"2,6"
It looks like there's no depth,0
Too clean/perfect,"1,5"
Too perfect,7
What the heck are those faces,"2,7"
Looks old but clean at the same time.,0
there is no name tag seen 0 0,0
"her neck ""V"" at the throat looks unreal","2,6"
he wouldn't be walking off the gap,"3,9"
no appropriate shadows,4
head seems detatched and too big ,"3,6"
top kid is just too adult looking and he seems to have an extra finger,"2,3"
looks like a cartoon. ,"1,5"
looks like a cartoon ,"2,5"
looks realistic ,0
"blurry, looks realistic ",1
 ,"1,4,5"
something about the shadow,4
Some of the blurred portions of the desks seem out of place. The chair to the left of the woman appears to be floating in midair. ,"3,9"
incorrect fingers,"3,6"
Fingers are twisted,"3,9"
mouth is incorrect,"2,6"
The fingers have visual errors.,"2,6"
The fingers have visual errors.,2
ai,0
Pinky finger incorrect,3
Teeth buttons,0
Six fingers,3
Nose,"2,6"
Skin too smooth ,"1,5"
wall does not line up,8
Real,0
fake,"5,7"
fake,"5,7"
WHY THEY SO SMOOTH,5
face looking swole,"2,6"
look at his fingers,"2,6"
extremely intricate,0
the glare looks artificial,4
look like a stock photo,"1,4"
what in the world,0
umm... looks like something made by chatgpt,0
hands,"3,6"
"looks professional
",0
"She looks to be moving in a complete different direction, and her right hand is strange. ","3,6"
The bucket has feet.,"3,9"
Pin is weird ,7
Teeth ,6
The legs of the black guy on the right don't match.,3
It`s a Little too perfect,7
"His Hand doesn`t seem to have any wrinkles. Also, his eyes Look odd","2,6"
...,0
...,0
because it dosn't look real,7
The light     that comes from behind gives different shadows...,4
The fingers with painted nails seem in bad position,"2,3"
Ears are different,"2,6"
The head seems joined artifficially,"2,6"
The foot behind the person is odd,"3,9"
The fence looks weird,0
Looks plasticky,7
Stuff blends together too much,0
"soft surfaces, looks like art, a drawing
","1,5"
doah,0
sieht aus wie aus adobe photoshop,5
gesichter,"2,6"
das gesicht,"2,6"
The faces are weirdly morphed,"2,5"
Looks cartoony,"2,5"
 ,"1,4,5"
kk,0
"the taller glass is in wrong position and many objects such as the sleeves of the girl's shirt, her finger as well","3,9"
"Tye skin just looks very 3d-like, like in a game or 3d animation like disney toy stroy or something like that, and their skin just look way too smooth","5,7"
Ive been there,0
Nose,"2,6"
Not sure,0
it dont look right ,0
Background look odd,4
rr,0
4,4
oihiyguiy7g8o7fry068yuitgh,0
"because it like all good
",0
Todos tienen la cara deformada,"2,6"
Tienen pequeñas partes deformadas,"3,6"
mi opinion esque es como que algo hecho por una maquina porque siempre la hija debe salir a la madre,0
No hace falta decir que es fake,0
La típica imágen fake de tik tok,0
Because the low quality and the expresion on his face,"1,7"
sus ojos son muy raras,0
"Su cara no parece real, al igual que el fondo","2,4"
muy joven,0
Más de lo mismo pero en el fondo y ropa,0
Su cara está compeltamente deformada,"2,6"
This image is contradictoria,0
"This image is real
",0
Esta si se nota ser real por la calidad y las caras,"1,2"
Tiene errores en la mano,3
Por la calidad de imágen y apariencia perece real,"1,10"
Fallos en los ojos,"2,6"
because of the boy,7
Fallos en la cara,"2,6"
Caras compleamente deformadas,"2,6"
i thin so,0
"



",0
Calidad perfecta,1
something weird in the light ,4
La calidad y cara muestran que es real,0
La típica foto de hace tiempo,0
La ví en un foro de internet,0
ya lo dije,0
si,0
hm,0
se nota,0
el pelo,0
...,0
si,0
the face of the soldier and the rabbit,"2,6"
ya ya mijo ya,0
si,0
ya,0
the shadow,4
d,0
r,0
k,0
o,0
d,0
sg,0
jifwe,0
Calidad Perfecta y pequeños errores,"1,"
too smooth,5
pale blotches on brides neckline,0
eyes look wrong,"2,6"
the legs behind the front player,"3,9"
"The glow behind the woman, Nasa batch not readable","4,8"
right leg,"3,9"
The faces are weird,"2,6"
these are extra terrestrials,7
"The eyes, and instruments on the right","2,6"
general quality,"1,10"
"body postures look like dolls
faces look too perfect
background too blurry
shadows feel wrong","2,5,4"
finger,"3,6"
glass contents look imperfect,"1,4"
the person on the right looks fake,"2,5"
glass glare - lighting,4
the ears do not look real to me,"2,6"
face looks like plastic,"2,5"
left arm and hand look too perfect (though an iphone filter over a real image sometimes does the same),"3,6"
faces look unnatural,"2,6"
"shadows, face","4,2"
i think that this is generated by AI beacuse it looks plastic and fake and parts of the food are literally floating ,"1,3,4"
 ,"1,4,5"
Looking too smooth,"1,5"
Looks real,0
"Person seems to be unnatural, especially the eyes. Also, the hair looks like a strong filter is used.","2,5"
